var,lon,mode,lag
so,W10p0,5,13
so,W10p0,5,14
so,W10p0,5,15
so,W10p0,5,16
so,W10p0,5,17
so,W10p0,5,18
so,W10p0,5,19
so,W10p0,5,20
so,W10p0,5,21
so,W10p0,5,22
so,W10p0,5,23
so,W10p0,5,24
so,W30p0,1,0
so,W30p0,1,1
so,W30p0,1,2
so,W30p0,1,3
so,W30p0,1,4
so,W30p0,1,5
so,W30p0,1,6
so,W30p0,1,7
so,W30p0,1,8
so,W40p0,3,0
so,W40p0,3,1
so,W40p0,3,2
so,W40p0,3,3
so,W60p0,1,0
so,W60p0,1,1
so,W60p0,1,2
so,W60p0,1,3
so,W60p0,1,4
so,W60p0,1,5
so,W60p0,1,6
so,W60p0,1,7
so,W60p0,1,8
so,W60p0,1,9
so,W60p0,1,10
so,W60p0,1,11
thetao,W10p0,1,20
thetao,W10p0,1,21
thetao,W10p0,1,22
thetao,W10p0,1,23
thetao,W10p0,1,24
thetao,W10p0,1,25
thetao,W10p0,2,11
thetao,W10p0,2,12
thetao,W10p0,2,13
thetao,W10p0,2,14
thetao,W10p0,2,15
thetao,W10p0,2,16
thetao,W10p0,2,17
thetao,W10p0,2,18
thetao,W10p0,2,19
thetao,W10p0,2,20
thetao,W10p0,2,21
thetao,W10p0,2,22
thetao,W20p0,3,22
thetao,W20p0,3,23
thetao,W20p0,3,24
thetao,W20p0,3,25
thetao,W20p0,9,0
thetao,W20p0,9,1
thetao,W20p0,9,2
thetao,W20p0,9,3
thetao,W20p0,9,4
thetao,W20p0,9,5
thetao,W20p0,9,6
thetao,W40p0,3,0
thetao,W40p0,3,1
thetao,W40p0,3,2
thetao,W40p0,3,3
thetao,W60p0,2,0
thetao,W60p0,2,1
thetao,W60p0,2,2
thetao,W60p0,2,3
