var,lon,mode,lag
so,W10p0,1,0
so,W10p0,1,1
so,W10p0,1,2
so,W10p0,1,3
so,W10p0,1,4
so,W10p0,1,5
so,W10p0,1,6
so,W10p0,1,7
so,W10p0,1,8
so,W10p0,1,9
so,W20p0,1,0
so,W20p0,1,1
so,W20p0,1,2
so,W30p0,1,0
so,W30p0,1,1
so,W30p0,1,2
so,W30p0,1,3
thetao,W10p0,2,0
thetao,W10p0,2,1
thetao,W10p0,2,2
thetao,W10p0,2,3
thetao,W10p0,2,4
thetao,W10p0,2,5
thetao,W10p0,2,6
thetao,W10p0,2,7
thetao,W10p0,2,8
thetao,W10p0,2,9
thetao,W20p0,2,0
thetao,W20p0,2,1
thetao,W20p0,2,2
thetao,W20p0,2,3
thetao,W30p0,2,0
thetao,W30p0,2,1
thetao,W30p0,2,2
thetao,W30p0,2,3
thetao,W30p0,2,4
thetao,W30p0,2,5
thetao,W30p0,2,6
thetao,W40p0,2,0
thetao,W40p0,2,1
thetao,W40p0,2,2
thetao,W40p0,2,3
thetao,W40p0,2,4
thetao,W40p0,2,5
thetao,W40p0,2,6
